new entry "Mesmer_Clone"
type "Character"
data "Level" "1"
data "Strength" "10"
data "Dexterity" "10"
data "Constitution" "10"
data "Intelligence" "10"
data "Wisdom" "10"
data "Charisma" "10"
data "Armor" "10"
data "Vitality" "1"
data "XPReward" "40806669-8c6b-4068-8bc4-07e4981bb020"
data "Sight" "1600"
data "Hearing" "1100"
data "FOV" "90"
data "Weight" "1"
data "StepsType" "Bare"
data "Flags" "InvulnerableAndInteractive"
data "DefaultBoosts" "DialogueBlock();BlockRegainHP(Undead;Construct;Living);CriticalHit(AttackTarget,Failure,Never);CriticalHit(AttackTarget,Success,Never)"
data "PathInfluence" "BloodElectrified,100;BloodFrozen,30;Lava,700;Fire,40;HolyFire,40;Hellfire,100;PoisonCloud,70;WyvernPoison,70;DrowPoisonCloud,70;PurpleWormPoison,70;SerpentVenom,70;InvisibleGithAcid,70;CloudkillCloud,70;MaliceCloud,70;CrawlerMucusCloud,70;WaterElectrified,100;WaterFrozen,30;Grease,30;Web,30;Vines,40;SporeBlackCloud,100;WaterCloudElectrified,40;SporeGreenCloud,40;Acid,30;CausticBrine,40;DarknessCloud,30;FogCloud,30;Mud,30;Oil,30;Poison,30;SpikeGrowth,40;SporePinkCloud,40;StinkingCloud,40"
data "ProficiencyBonusScaling" "265d62c4-9b82-4ed6-9a86-da675b4ef8fe"
data "SpellCastingAbility" "Charisma"
data "UnarmedAttackAbility" "Charisma"
data "UnarmedRangedAttackAbility" "Charisma"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;Movement:9;ReactionActionPoint:1"
data "BludgeoningResistance" "Immune"
data "SlashingResistance" "Immune"
data "PiercingResistance" "Immune"
data "AcidResistance" "Immune"
data "ColdResistance" "Immune"
data "FireResistance" "Immune"
data "ForceResistance" "Immune"
data "LightningResistance" "Immune"
data "NecroticResistance" "Immune"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Immune"
data "RadiantResistance" "Immune"
data "ThunderResistance" "Immune"
data "MinimumDetectionRange" "2"
data "DarkvisionRange" "9"
data "FallingHitEffect" "VFX_Combat_Bludgeoning_Damage_Blood_01"
data "FallingLandEffect" "VFX_Combat_Force_Land_01"
data "ArmorType" "None"
data "Proficiency Group" "Battleaxes;Clubs;Daggers;Darts;Flails;Glaives;Greataxes;Greatclubs;Halberds;HandCrossbows;Greatswords;Handaxes;HeavyArmor;HeavyCrossbows;Javelins;LightArmor;LightCrossbows;LightHammers;Longbows;Longswords;Maces;MartialWeapons;Mauls;MediumArmor;Morningstars;Pikes;Quarterstaffs;Rapiers;Scimitars;Shortbows;Shields;Sickles;Shortswords;SimpleWeapons;Slings;Spears;Tridents;Warhammers;Warpicks;MusicalInstrument"

